status;id;n_013;original;013__a;013__b;013__c;013__d;260__c;n_500;500__a
ERROR;200553;1;US Patent Application 2007/0029229       ;;;;;2007;0;
ERROR;200556;1;US Patent Application 2007/0284284 ;;;;;2007;0;
ERROR;200557;1;US Patent 11/756,767;;;;;2010;0;
ERROR;201612;1;14174633.9-1662;;;;;2014;0;
ERROR;203110;1;1460869;;;;;2014;1;Ecole Polytechnique Fédérale de Lausanne (EPFL), Hôpitaux Universitaires de Genève
TO_UPDATE;203816;1;EP 2 706 344 A1;EP2706344;EP;A1;;2014;0;
TO_UPDATE;203821;1;EP1099505;EP1099505;EP;;;2000;0;
TO_UPDATE;204242;1;WO2013093788 A1;WO2013093788;WO;A1;2013;2013;1;Priority date December 20, 2011
TO_UPDATE;204243;1;WO2013185938;WO2013185938;WO;;2013;2013;1;Priority date 13.06.2012
TO_UPDATE;204249;1;WO2012156978;WO2012156978;WO;;2012;2012;1;Priority data: US201161457717P 2011.05.18
TO_UPDATE;204250;1;WO2002093120;WO02093120;WO;;2002;2002;1;Priority data: GB20010011623 20010511
TO_UPDATE;204251;1;US5679955;US5679955;US;;;1997;1;Priority data: US19950002806P 19950825
TO_UPDATE;204252;1;WO8800336;WO8800336;WO;;;1988;1;Priority data: FR19860009704 19860702
TO_UPDATE;204254;1;FR2710150;FR2710150;FR;;;1995;1;Priority data: FR19930011700 19930917
TO_UPDATE;204255;1;WO2014177198;WO2014177198;WO;;2014;2014;1;Priority data: WO2013EP59023 20130430
TO_UPDATE;204700;1;US 2015/0005708 A1;US20150005708;US;A1;2015;2015;0;
TO_UPDATE;206414;1;EP2626680A1;EP2626680;EP;A1;;2013;0;
TO_UPDATE;206415;1;US8659762B2;US8659762;US;B2;;2014;0;
ERROR;207565;1;U.S. Provisional Application No. 61/897,144;;;;;2013;0;
ERROR;207566;1;U.S. Provisional Application No. 61/901,949;;;;;2013;0;
ERROR;207567;1;U.S. Provisional Application No. 61/980,541;;;;;2014;0;
ERROR;209383;0;;;;;;1999;0;
ERROR;209385;0;;;;;;1999;0;
ERROR;209397;0;;;;;;2000;0;
ERROR;209398;0;;;;;;2000;0;
ERROR;209424;0;;;;;;2002;0;
ERROR;209432;0;;;;;;2002;0;
ERROR;209476;0;;;;;;2005;0;
ERROR;209501;0;;;;;;2007;0;
TO_UPDATE;210674;1;WO 2015/104692 A2;WO2015104692;WO;A2;2015;2015;0;
TO_UPDATE;210675;1;WO 2015/104693 A2;WO2015104693;WO;A2;2015;2015;0;
